Reporting Range=["Quarterly"],Select year=["2025"],Select quarter=["4"],Search Term=["couple"],,,,,,,,,,,,,,,,,
Search Frequency Rank,Search Term,Top Clicked Brand #1,Top Clicked Brands #2,Top Clicked Brands #3,Top Clicked Category #1,Top Clicked Category #2,Top Clicked Category #3,Top Clicked Product #1: ASIN,Top Clicked Product #1: Product Title,Top Clicked Product #1: Click Share,Top Clicked Product #1: Conversion Share,Top Clicked Product #2: ASIN,Top Clicked Product #2: Product Title,Top Clicked Product #2: Click Share,Top Clicked Product #2: Conversion Share,Top Clicked Product #3: ASIN,Top Clicked Product #3: Product Title,Top Clicked Product #3: Click Share,Top Clicked Product #3: Conversion Share,Reporting Date
89864,halloween couple costumes adult,Spooktacular Creations,JenPen,Funziez!,Apparel,Toys,Beauty,B0FH45XBQH,JenPen 9 Pcs Halloween Adult Couple Costume Men's Black and White Striped Suit Women's Costume Cosplay Set Red Gothic Wedding(X-Large),5.51,0,B07W45HH8M,"Spooktacular Creations Plug and Socket Halloween Costume Adult, Plug and Outlet Couples USB Costume for Halloween Cosplay Party (Medium)",3.29,0.78,B0DRF6NRDH,XYJKIDSES Couple Inflatable Dachshund Costume for Adult Halloween Blow Up Costumes 2 People Funny Dog Costumes for Men Women Cosplay,2.92,1.3,12/31/2025
98530,couple gift,JIMBON,Callisto,,Home,Toys,Kitchen,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",5.23,1.51,B08X94JGJ1,"Thanksgiving Nuts Gift Basket - Assortment of Sweet & Roasted Salted Gourmet Nuts - Assorted Food Gift Box for Christmas, Holiday, Family, Sympathy, Men & Women.",4.35,0.92,B08YWP5QRF,"Romantic & Fun Scratch Off Date Night Ideas Card Game, Perfect Couple Gifts for Her or Him, Couple Gifts for Boyfriend, Girlfriend, Wife, Husband, Engagement, Birthday or Anniversaries",3.52,3.76,12/31/2025
107484,couple matching pajamas,PJGGZ,SWOMOG,Ekouaer,Apparel,Guild,Sports,B08HC98GX2,"U2SKIIN Couple Pajama Sets, Plaid Pajama Set for Men and Women Soft Warm Pjs Set Black/Red-Black Plaid Womens Medium",6.63,0.52,B0FG7TVJMW,"PJGGZ Matching Pajamas for Couples, Button Down Loungewear Soft Warm Long Sleeve Sleepwear His and Hers Pajamas Sets(Women,Blue,M)",3.91,0.26,B0DG84HM46,"PJGGZ Matching Pajamas for Couples, Mens and Womens Buffalo Plaid Pajamas Set Long Sleeve Pjs Soft Warm(Black/Red-black Buffalo Plaid,M,Women)",2.64,0,12/31/2025
113928,couple pajamas,PJGGZ,SWOMOG,U2SKIIN,Apparel,Sports,Guild,B08HC98GX2,"U2SKIIN Couple Pajama Sets, Plaid Pajama Set for Men and Women Soft Warm Pjs Set Black/Red-Black Plaid Womens Medium",6.62,0.48,B0FG7TVJMW,"PJGGZ Matching Pajamas for Couples, Button Down Loungewear Soft Warm Long Sleeve Sleepwear His and Hers Pajamas Sets(Women,Blue,M)",4.38,0.48,B0DG84HM46,"PJGGZ Matching Pajamas for Couples, Mens and Womens Buffalo Plaid Pajamas Set Long Sleeve Pjs Soft Warm(Black/Red-black Buffalo Plaid,M,Women)",2.96,0.72,12/31/2025
116212,couple,,JIMBON,Luna Bean,Digital_Video_Download,Home,Toys,B0B6MQSS9M,Couples Therapy,12.71,0,B0DK9T93ZB,The Couple Next Door,11.3,0,B00D5UH4G0,Couples Retreat,4.96,0,12/31/2025
117267,couple halloween costumes set,JenPen,Spooktacular Creations,Mepase,Apparel,Toys,Home,B0FH4KDSC7,JenPen 9 Pcs Halloween Adult Couple Costume Men's Black and White Striped Suit Women's Costume Cosplay Set Red Gothic Wedding(Large),6.18,0,B0FLJVT3BV,Resiwai Couple Inflatable Horse Costume for Adult 2 People Halloween Blow Up Costumes Funny Cowboy Ride on Horse Suit for Men Women Cosplay,3.02,1.5,B0CQKFJQGT,Ladhow 80s Tracksuit for Men Women 90s Windbreaker Retro Track Suit Costume 80s Outfit for Couples,2.18,0.37,12/31/2025
117898,couple christmas sweaters,wild custom apparel,Wild Bobby,MYHALF,Apparel,Guild,Sports,B0FKH88RS2,Christmas Couples Matching Sweatshirt - Matching Christmas Shirts for His Hers Funny Vacation Outfits Red,6.15,0,B0FYV1HK5Z,wild custom apparel Peace I Come In Peace Couples Ugly Christmas Sweatshirt Sweater Mens Small Womens Small FOREST GREEN AND MAROON,3.81,0,B0FKMCTL3P,Christmas Couples Matching Sweatshirt - Matching Christmas Shirts for His Hers Funny Vacation Outfits Red,3.4,0,12/31/2025
118378,newly wed gifts for the couple,HEXMOZ,FEIYU BUY,AW BRIDAL,Home,Kitchen,Guild,B09FHT8TZ8,"Our Adventure Book Travel Diary Photo Book,Scrapbook, Photo Album,Retro-Style Souvenirs, Vintage Guestbook DIY Anniversary Wedding Travel Writing Baby Friend Gift, Heartfelt Present(Ball)",5.57,2.02,1642729647,"Mr. and Mrs. 366 Devotions for Couples - White Faux Leather Devotional Gift Book for Bride and Groom, Engaged",3.72,2.49,B0DYJNC64Z,"HEXMOZ Wedding Gifts for Couples 2025 - Mr and Mrs Gifts - Bridal Shower Gift, Wedding Ideas for Newly Wed, Bride, Future Mr Mrs - Just Married Glass Ornament 2025, 1st Married Couple Christmas Decor",3.59,3.7,12/31/2025
118860,anniversary card for couple,Hallmark,American Greetings,Airpark,Office Products,Baby,Sports,B072MMD2JL,Hallmark Signature Anniversary Card for Couple (Happy Anniversary),13.5,7.21,B0DBZD1M89,"Airpark Anniversary Card with Music & Lights, 3D Pop Up Happy Anniversary Cards for Him Her Husband Wife Couple, Fireworks & Rose Lily Paper Flowers",7.12,6.04,B01KWIH2A0,American Greetings Anniversary Card for Couple (You're Both So Special),6.66,4.63,12/31/2025
121460,christmas couple pajamas,Ekouaer,SWOMOG,iHapHap,Apparel,Sports,Guild,B0CFF2RT6R,"Ekouaer Matching Christmas Pajamas for Couples Silky Soft Sleepwear Cute Long Sleeve Button Up Two Piece Pjs,Christmas Navy,M",2.82,0.43,B0DL57XC87,"iHapHap I Have Everything I Want Christmas Couples Christmas Matching Pajamas Set For Couples(XL,Mom)",2.76,0,B08HC98GX2,"U2SKIIN Couple Pajama Sets, Plaid Pajama Set for Men and Women Soft Warm Pjs Set Black/Red-Black Plaid Womens Medium",2.4,0.22,12/31/2025
125906,horrible couple game,Exploding Kittens,Horrible Friends,RISKY COUPLES,Toys,Sports,Home,B0FS6J7Z17,"Exploding Kittens Horrible Couple – Extra Horrible Edition – Party Game for 2-8 Players, from The Creators of Horrible Therapist | A Fun Game Night with Friends, Funny Card Game for Adults",47.47,72.8,B0D2JG7873,"Horrible Therapist: Extra Horrible Edition by Exploding Kittens - A Card Game for 3-8 Players, Ages 17+ - Adult Party Game for Family Night",38.12,10.62,B0D2RTFTWH,HORRIBLE FRIENDS - A Party Game for You and Your Awful Friends,3.44,0.28,12/31/2025
129230,couple gift ideas,JIMBON,,Callisto,Home,Toys,Kitchen,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",5.52,2.83,B01E4LWBLQ,Luna Bean Hand Casting Kit – The Original Hand Mold Kit for Couples – Valentines Day Gifts for Her and Him - Anniversary Engagement Gifts for Women Men Mom Wife Boyfriend Girlfriend Wedding Bridal,3.15,3.28,B08X94JGJ1,"Thanksgiving Nuts Gift Basket - Assortment of Sweet & Roasted Salted Gourmet Nuts - Assorted Food Gift Box for Christmas, Holiday, Family, Sympathy, Men & Women.",3.08,0.68,12/31/2025
135812,couple christmas gifts,JIMBON,All Natural Shop,,Home,Kitchen,Grocery,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",7.04,3.29,B08YWP5QRF,"Romantic & Fun Scratch Off Date Night Ideas Card Game, Perfect Couple Gifts for Her or Him, Couple Gifts for Boyfriend, Girlfriend, Wife, Husband, Engagement, Birthday or Anniversaries",4.68,4.12,B08X94JGJ1,"Thanksgiving Nuts Gift Basket - Assortment of Sweet & Roasted Salted Gourmet Nuts - Assorted Food Gift Box for Christmas, Holiday, Family, Sympathy, Men & Women.",3.77,1.37,12/31/2025
138432,couple gifts for him and her,JIMBON,,Urban Accents,Home,Kitchen,Toys,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",6.33,3.4,B07JN5467R,"Urban Accents Movie Night Popcorn Gift Set – Includes 3 Gourmet Popcorn Kernel Varieties & 5 Flavorful Seasonings – Perfect Snack Gift Box for Parties, Holidays, or Movie Lovers",5.61,1.36,B08YWP5QRF,"Romantic & Fun Scratch Off Date Night Ideas Card Game, Perfect Couple Gifts for Her or Him, Couple Gifts for Boyfriend, Girlfriend, Wife, Husband, Engagement, Birthday or Anniversaries",3.29,4.08,12/31/2025
144837,gift for couple,Nut Haven,JIMBON,,Home,Grocery,Kitchen,B08X94JGJ1,"Thanksgiving Nuts Gift Basket - Assortment of Sweet & Roasted Salted Gourmet Nuts - Assorted Food Gift Box for Christmas, Holiday, Family, Sympathy, Men & Women.",7.18,1.96,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",6.57,3.62,B08YWP5QRF,"Romantic & Fun Scratch Off Date Night Ideas Card Game, Perfect Couple Gifts for Her or Him, Couple Gifts for Boyfriend, Girlfriend, Wife, Husband, Engagement, Birthday or Anniversaries",3.11,2.94,12/31/2025
145557,wedding gifts for couple,AW BRIDAL,JIMBON,,Home,Kitchen,Guild,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",4.82,1.5,B0D126Z2FV,"AW BRIDAL Mr and Mrs Wine Glasses Wedding Gifts for Couples 2025, Engagement Gift for Newlyweds, Bridal Shower and Bachelorette Gifts for Bride, Wine Opener Stopper and Engraved Wooden Keepsake Box",2.96,1.82,B0B567LTMY,"BaubleDazz Funny Wedding Gifts, Bachelorette & Bridal Shower Gift for Bride, 7oz Lavender Scented Soy Wax Candle, Bride to Be, Engagement Gifts for Couples",2.83,1.82,12/31/2025
167981,couple pajamas matching sets,SWOMOG,PJGGZ,U2SKIIN,Apparel,Softlines_Private_Label,Sports,B08HC98GX2,"U2SKIIN Couple Pajama Sets, Plaid Pajama Set for Men and Women Soft Warm Pjs Set Black/Red-Black Plaid Womens Medium",5.86,0.53,B0FG7TVJMW,"PJGGZ Matching Pajamas for Couples, Button Down Loungewear Soft Warm Long Sleeve Sleepwear His and Hers Pajamas Sets(Women,Blue,M)",4.58,0.53,B0DG84HM46,"PJGGZ Matching Pajamas for Couples, Mens and Womens Buffalo Plaid Pajamas Set Long Sleeve Pjs Soft Warm(Black/Red-black Buffalo Plaid,M,Women)",3.09,0.8,12/31/2025
169577,the odd couple,,Paramount,CBS,Digital_Video_Download,Video DVD,Digital_Music_Purchase,B00C3MGPKM,The Odd Couple,24.13,0,B0CGQ62M2H,The Odd Couple (Classic) Season 2,11.99,0,B0CGM3BTHB,The Odd Couple (Classic),9.53,0,12/31/2025
174629,couple games for date night,WHAT DO YOU MEME?,Tsinlan.ayn,DSS Games,Toys,Guild,Books,B0CR4G7CPD,"The Ultimate Date Night Game by Relatable, Great for Couples Games and Stay at Home Date Night Ideas, From The Makers of Let's Get Deep Relationship Card Game, Includes 300 Cards & Spinner",25.83,16.69,B0FW4LXG78,Tsinlan.ayn Lust Tower Games for Adults Super Naughty Tumbling Block Tower Wooden Stacking Block for Couples Date Night Ideas for Valentine Lover Drunking Games (48pcs),7.76,0.3,B09PMQRSPF,"DSS Games The Couples Game That's Actually Fun [Date Night, Idea, Relationship Card Game, Pair Activity, Prime Deal, 2 Players for Adults, Gift for Her, Gift for Him]",6.94,6.17,12/31/2025
182742,totwoo couple bracelet long distance,TOTWOO,EAOYAO,INOWL,Jewelry,Wireless,Home Entertainment,B0DD3CQNTM,"TOTWOO Long Distance Touch Bracelets for Couples, Vibration & Light up for Love Couples Bracelets | Long Distance Relationship Gifts for Girlfriend Bluetooth Pairing Jewelry",15.72,11.92,B0DFCDLGK8,"TOTWOO Touch Bracelets for Couples, Vibration & Light up for Love Couples Long Distance Relationship Gifts for Girlfriend Bluetooth Pairing Jewelry",11.24,6.57,B0CW6BDYJY,"TOTWOO Long Distance Touch Bracelets for Couples, Smart Light up & Vibration for Love Couples Healing Stone Bracelet | Long Distance Relationship Gifts for Girlfriend Bluetooth Pairing Jewelry",7.12,4.38,12/31/2025
183281,couple gifts for him,,Compendium,HubbgDesign,Home,Apparel,Toys,1943200106,"I Wrote a Book About You — A fun, fill-in-the-blank book.",5.89,1.53,B0FMRD49DK,"2 x Personalized Car Visor Photo Frame with Clip – 2 Acrylic Frames, 5 Interchangeable Mats – No Adhesive Design, Heat-Resistant Keepsake for Car, Valentine’s, Couple Anniversary, Wedding Gift for Him or Her",5.23,3.31,B0BMQTR54W,"Koogel Explosion Gift Box, Handmade Exploding Photo Album Preassembled Surprise Picture Pop Up Love Box with Creative DIY Scrapbooking Accessories for Anniversary Birthday Wedding",4.97,1.02,12/31/2025
186260,couple rings,LAxto,loversring,LAVUMO,Jewelry,Guild,Home,B0DLWFQR1W,LAxto Custom Engraved Couple Promise Rings Set - Matching Wedding Rings for Him and Her - Celtic Dragon Tungsten & Ruby (Red-Couples),6.35,0,B09VPCLKJP,MILACOLATO Matching Rings for Couples 925 Sterling Silver Adjustable Matching Heart Promise Ring I Love You Engagement Wedding Ring for Him and Her Valentines Day Gifts,4.42,4.97,B076Z8FW8M,LAVUMO Matching Promise Rings for Couples Love You Forever Wedding Bands Sets for Him and Her Half Heart Rings Stainless Steel 6mm with Box Comfort Fit (Men 10 & Women 7),3.67,0.55,12/31/2025
193071,married couple gifts,JIMBON,Fxbwhtey,All Natural Shop,Home,Kitchen,Toys,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",6.69,3.74,B0CNCFLXVD,"Mr and Mrs Gifts, Hubby Gifts for Men, Wifey Hat for Women, 2 PCS Honeymoon Hats, Just Married Gifts for Husband Wife Bride Groom, Adjustable Cotton Couple Baseball Cap Black",4.22,0.72,B08YWP5QRF,"Romantic & Fun Scratch Off Date Night Ideas Card Game, Perfect Couple Gifts for Her or Him, Couple Gifts for Boyfriend, Girlfriend, Wife, Husband, Engagement, Birthday or Anniversaries",3.68,3.16,12/31/2025
195672,couple matching christmas pajamas,Ekouaer,SWOMOG,U2SKIIN,Apparel,Softlines_Private_Label,Sports,B08HC98GX2,"U2SKIIN Couple Pajama Sets, Plaid Pajama Set for Men and Women Soft Warm Pjs Set Black/Red-Black Plaid Womens Medium",3.24,0.41,B0FPQZYCP1,LUKYCILD Christmas Pjs Matching Sets for Couples/Adults holiday Xmas Printed Top and Plaid Pants Sleepwear Pajamas Black,2.38,0,B0B4VNNBHF,Ekouaer Family Christmas Pajamas Matching Sets Womens Mens Pjs Long Sleeve Sleepwear Holiday Lounge Sets Red XL,2.21,0,12/31/2025
199956,funny couple costumes,Rasta Imposta,Spooktacular Creations,,Apparel,Toys,Home,B07W45HH8M,"Spooktacular Creations Plug and Socket Halloween Costume Adult, Plug and Outlet Couples USB Costume for Halloween Cosplay Party (Medium)",6.38,2.44,B0DRF6NRDH,XYJKIDSES Couple Inflatable Dachshund Costume for Adult Halloween Blow Up Costumes 2 People Funny Dog Costumes for Men Women Cosplay,3.77,0.81,B0FJRXQDFW,Jecery 2 Pcs Funny Halloween Costume Big Bikini Babe Adult Holiday Couple Costume for Friends Family Partner,2.43,0,12/31/2025
213725,couple card games,WHAT DO YOU MEME?,LIMGUVK,WE'RE NOT REALLY STRANGERS,Toys,Guild,Books,B0FNCT4MWS,"Real & Deeper - 150 Couples Conversation Cards - Romantic Couples Games Great for Memorable Date Nights - Game Nights to Get Intimate Connections - Couples Gifts, Wedding Gifts",19.35,0.18,B08PQ14F57,"WHAT DO YOU MEME? Let's Get Deep by Relatable, A Question Card Game for Couples, Fun for Date Night Ideas, Wedding Gifts for Couples, Includes 300 Cards to Build Up Intimacy",14.41,11.76,B0B7V56B7H,"WE'RE NOT REALLY STRANGERS Couples Edition Card Game - 150 Conversation Cards for Couples - 2 Player Game for Memorable Date and Game Nights, Meaningful Gift for Adults and Teens, Ages 15+, 2 Players",11.98,13.01,12/31/2025
215730,adult couple costumes,Spooktacular Creations,JenPen,PIIDUOO,Apparel,Toys,Home,B0FH45XBQH,JenPen 9 Pcs Halloween Adult Couple Costume Men's Black and White Striped Suit Women's Costume Cosplay Set Red Gothic Wedding(X-Large),5,0.54,B0CYGZMZP5,"Spooktacular Creations Plug and Socket Halloween Costume Adult, Plug and Outlet Couples USB Costume for Halloween Cosplay Party (Small)",3.87,0,B0DRF6NRDH,XYJKIDSES Couple Inflatable Dachshund Costume for Adult Halloween Blow Up Costumes 2 People Funny Dog Costumes for Men Women Cosplay,3.37,1.08,12/31/2025
218045,couple gifts for christmas,Nut Haven,,Urban Accents,Home,Grocery,Kitchen,B08X94JGJ1,"Thanksgiving Nuts Gift Basket - Assortment of Sweet & Roasted Salted Gourmet Nuts - Assorted Food Gift Box for Christmas, Holiday, Family, Sympathy, Men & Women.",5.66,0.72,B07JN5467R,"Urban Accents Movie Night Popcorn Gift Set – Includes 3 Gourmet Popcorn Kernel Varieties & 5 Flavorful Seasonings – Perfect Snack Gift Box for Parties, Holidays, or Movie Lovers",3.67,1.81,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",3.49,1.99,12/31/2025
219031,anniversary gifts for couple,FreeJac,JIMBON,Luna Bean,Home,Kitchen,Guild,B0D6R1WN8L,"Anniversary Candle - Aniversario Gifts for Men, Women & Couples - Romantic Gifts for Him, Her - 6oz",4.07,5.01,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",3.38,1.54,B01E4LWBLQ,Luna Bean Hand Casting Kit – The Original Hand Mold Kit for Couples – Valentines Day Gifts for Her and Him - Anniversary Engagement Gifts for Women Men Mom Wife Boyfriend Girlfriend Wedding Bridal,3.27,3.47,12/31/2025
